Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
USDT,USD,Chainlink,Yes,Yes,86400,0.1,ChainlinkOracle,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,0x0000000000000000000000000000000000000348,0x3f3f5dF88dC9F13eac63DF89EC16ef6e7E25DdE7,90000
USDV,USD,Chainlink,Yes,Yes,86400,1,ChainlinkOracle,0x323665443CEf804A3b5206103304BD4872EA4253,0x0000000000000000000000000000000000000348,0x7Fa028B87e73deb66DcFf9Fa40f4C7C6Dd2Fd254,90000
WBTC,BTC,Chainlink,Yes,No,86400,0.5,ChainlinkOracle,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x0017abAc5b6f291F9164e35B1234CA1D697f9CF4,90000
WBTC,USD,Chainlink,Yes,Yes,86400,0.05,ChainlinkOracle,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0x0000000000000000000000000000000000000348,0xd0C7101eACbB49F3deCcCc166d238410D6D46d57,90000
weETH,eETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x20bAe7e1De9c596f5F7615aeaa1342Ba99294e12,90000
weETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x35751007a407ca6FEFfE80b3cB397736D2cf4dbe,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xE141425bc1594b8039De6390db1cDaf4397EA22b,90000
WIF,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0xF7Ee427318d2Bd0EEd3c63382D0d52Ad8A68f90D,90000
wOETH,oETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xD8724322f44E5c58D7A815F542036fb17DbbF839,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x03a1f4b19aaeA6e68f0f104dc4346dA3E942cC45,90000
WOO,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xcAFcD85D8ca7Ad1e1C6F82F651fA15E33AEfD07b,0x0000000000000000000000000000000000000348,0x5e2b5C5C07cCA3437c4D724225Bb42c7E55d1597,90000
wrsETH,rsETH (EXCHANGE RATE),Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0x8f1dF6D7F2db73eECE86a18b4381F4707b918FB1,90000
WSTETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x5979d7b546e38e414f7e9822514be443a4800529,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xb523AE262D20A936BC152e6023996e46FDC2A95D,90000
wstETH,stETH (EXCHANGE RATE),Chainlink,Yes,No,86400,0.5,ChainlinkOracle,0x5979d7b546e38e414f7e9822514be443a4800529,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0xB1552C5e96B312d0Bf8b554186F846C40614a540,90000
XAI,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x4Cb9a7AE498CEDcBb5EAe9f25736aE7d428C9D66,0x0000000000000000000000000000000000000348,0x806c532D543352e7C344ba6C7F3F00Bfbd309Af1,90000
XRP,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,N/A,0x0000000000000000000000000000000000000348,0xB4AD57B52aB9141de9926a3e0C8dc6264c2ef205,90000
XVS,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xc1Eb7689147C81aC840d4FF0D298489fc7986d52,0x0000000000000000000000000000000000000348,0x300b0990Ba191a1AeBef6e5Ed8B5B308C0B2d0c9,90000
YFI,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x82e3A8F066a6989666b031d916c43672085b1582,0x0000000000000000000000000000000000000348,0x745Ab5b69E01E2BE1104Ca84937Bb71f96f5fB21,90000
ZRO,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x6985884C4392D348587B19cb9eAAf157F13271cd,0x0000000000000000000000000000000000000348,0x1940fEd49cDBC397941f2D336eb4994D599e568B,90000
